utterance_key;shard_dix;set_name
id07078/_uMiWGS0CYU/00339;0;train
id08568/VVGTDTZkZ3s/00303;0;train
id08236/pgSx8Uu7IB0/00439;0;train
id04968/GcyUjwdPrdc/00155;0;train
id04458/djQyJsnWViM/00275;0;train
id04408/2e1eGgXQEQI/00031;0;train
id06364/TaqyeB3CZpo/00200;0;train
id06792/Kd5oQFQvcRY/00249;0;train
id05189/vam2GBpymDw/00392;0;train
id04855/dmvTzY7DYF0/00389;0;train
id07980/F3Eb-lSZ9B8/00073;0;train
id05771/Ucge64UmpDM/00365;0;train
id05685/3uTrC6YcPfs/00028;0;train
id04097/T2KdfFUzZqE/00317;0;train
id00266/njQOyyMmSRQ/00380;0;train
id08362/lbeuha3Iiow/00350;0;train
id08802/sgIJ0eEUT6s/00461;0;train
id04716/hcCglKPF5PQ/00439;0;train
id05477/xr49WFxKXYM/00464;0;train
id04027/EXHEi7EsI1A/00114;0;train
id00806/pQOTPKhuJp8/00417;0;train
id08079/i62nu7Il1j8/00375;0;train
id03983/4PHBxTX0ftQ/00159;0;train
id01056/g398Gj1XN_U/00255;0;train
id06378/2FncO01tjH0/00002;0;train
id08999/QeAZmOwYKNo/00218;0;train
id03907/rzxk8fIEebA/00491;0;train
id04128/J9Uvr8ZOlcU/00158;0;train
id07556/jViJ4PnIv6o/00311;0;train
id05853/mcH7DBIGDWY/00396;0;train
id01827/uPijNLzJwOU/00415;0;train
id08351/hbU1vqQWOU8/00364;0;train
id07236/gbp6qkIclOc/00346;0;train
id06239/8lTvn4_D53g/00070;0;train
id01225/DVCndOeNuHU/00166;0;train
id03728/D5BK2-wYp34/00229;0;train
id08573/KAREUMTAa64/00213;0;train
id08739/CMBjwIPE03g/00105;0;train
id04372/5qRVXJaCxDc/00053;0;train
id03786/6Wr_rIokXKQ/00071;0;train
id04839/Z3zztOkMc0c/00340;0;train
id03821/KZPfSS8wVwg/00275;0;train
id05644/WXOU3hSDL6k/00352;0;train
id03269/hr58HSO33fY/00422;0;train
id04486/swLBfSZFBKI/00447;0;train
id07256/OEhFUmgK89U/00241;0;train
id05710/Knos3lgd3iI/00282;0;train
id03556/3bw-MYGFnIs/00020;0;train
id02260/WI5rM-NT5YM/00225;0;train
id04660/4bBaGrK8s0E/00055;0;train
id04334/olKOPrRqdH4/00397;0;train
id02538/UuqGifH_M9c/00255;0;train
id04222/9RU2X2Bf4Gg/00039;0;train
id05738/ydfYaHZKum0/00490;0;train
id05913/V78s7uUkTmI/00313;0;train
id04961/Gpqr7F48d9s/00122;0;train
id03298/iYwT1BExV_g/00421;0;train
id01010/f9jwFEu9mNQ/00310;0;train
id01659/GLYxyXsU2kQ/00138;0;train
id07956/t8h002hJSsM/00467;0;train
id05496/hmX89enMD0g/00315;0;train
id00255/3lwbLYxk5ys/00033;0;train
id06017/_Cy8D-RHekg/00286;0;train
id00741/_672LB5TsX4/00242;0;train
id03706/NLKANBqjVfk/00114;0;train
id03336/MrXANvvJajY/00167;0;train
id00680/kyGhHSWfuQI/00355;0;train
id09186/MAphCRBAW78/00159;0;train
id04684/quR53YmiDSw/00444;0;train
id04738/I93rYkeNh4w/00167;0;train
id05171/4K1H3_Nu9Dc/00076;0;train
id05401/CCBmwyg9V4c/00049;0;train
id01758/5n0I9gJ2PsY/00039;0;train
id08993/7j7e3-YXr_s/00330;0;train
id03247/na55z6KGoBc/00325;0;train
id04644/CtNOzd7WPLY/00090;0;train
id04219/Fi-tKdBERf4/00194;0;train
id06949/xlyrcEwG2Kw/00475;0;train
id02593/Mkevcub18CU/00204;0;train
id00829/x3U9-KlO2F4/00484;0;train
id07344/PMyUurEBrCw/00314;0;train
id03755/N_3d07u3R9U/00136;0;train
id06874/nCBiPtqJA58/00366;0;train
id07186/BZQgyTwDbYo/00043;0;train
id09230/iLW9y0tZsuE/00363;0;train
id04655/4cr0ZkTjZ-4/00034;0;train
id07351/HUvV3VKqJKI/00163;0;train
id08335/VvetXT_MSBA/00148;0;train
id08658/7lhWVvCbHJ0/00071;0;train
id00965/wtSAdVyKeCI/00489;0;train
id06588/BL0vvePeBpA/00094;0;train
id07750/u0fnuN9xS-I/00430;0;train
id01776/Yi_BktdfM4Q/00291;0;train
id00650/kHBrmonXX74/00389;0;train
id03312/mgn1Wox-Jfg/00413;0;train
id04554/3AtXtDQ6EKA/00042;0;train
id01511/LIIMmLbD7dA/00214;0;train
id02150/ao39oFR2HlE/00355;0;train
id02166/y5jgSg1Xk3s/00490;0;train
id00332/MOH5EfVbHmI/00134;0;train
id04408/qFvDVWERd6I/00429;0;train
id04968/pS-d-d17mSI/00419;0;train
id08739/mFJpqkdOTXs/00357;0;train
id01758/hTRNyOM6Afs/00395;0;train
id04738/fyGOcunml8c/00400;0;train
id04458/0aGyszAxYm8/00006;0;train
id01010/8Gd-nZogaZU/00023;0;train
id06874/qSC06bWxkBo/00414;0;train
id07256/tp3MC65woP0/00459;0;train
id04655/c7NS89Hj6ds/00338;0;train
id04222/iFDfYBAc7_4/00409;0;train
id03821/88d_4Ak4Lz8/00058;0;train
id00266/P1GoaoeEX0I/00211;0;train
id07980/tPeftg_DZ3U/00465;0;train
id07078/M-TW4sNUvWE/00186;0;train
id05401/p1OqArQfgJs/00466;0;train
id09230/WcmmsjkVh1w/00238;0;train
id02260/NstvwydsP90/00126;0;train
id02593/cfF5YxJ9XII/00321;0;train
id03728/D5BK2-wYp34/00230;0;train
id02150/_4t1r3B_BXo/00307;0;train
id08573/45CFl3EGeXM/00109;0;train
id07750/fUcFUiJzYc4/00409;0;train
id04855/JltoKjrRVfk/00192;0;train
id01225/p2R5mmxZ9QM/00421;0;train
id01511/TGbhH8-MVaQ/00323;0;train
id00741/61wcB9ZRAWU/00029;0;train
id03556/nRlqqKhJ7Hc/00189;0;train
id03907/TtN6RBeQ_vs/00340;0;train
id06017/sQReOOCwHzg/00425;0;train
id04334/EZ1s12AT7tM/00116;0;train
id08658/gao-p8fIoCg/00348;0;train
id06588/6fdMBWGHvrA/00037;0;train
id08335/bZA5C9Dh7kU/00339;0;train
id04372/p-kS-E9cWXs/00459;0;train
id07186/amf_BAMKyYc/00336;0;train
id07556/en-mF4ors-s/00298;0;train
id05477/xr49WFxKXYM/00466;0;train
id04644/xvNovIKjoQs/00477;0;train
id05738/6bDo7dNadXk/00051;0;train
id03336/t-USBGRvw30/00422;0;train
id03755/pD-ppJ2PMw4/00452;0;train
id06364/1YFoKBYlKyA/00034;0;train
id03269/XAG7CeoQRRI/00327;0;train
id05710/N-BF0ujEGKU/00297;0;train
id04097/9QEBFlUXphQ/00064;0;train
id06378/N5ntH_vXbUQ/00242;0;train
id03247/aXPKMa2ym_0/00226;0;train
id05913/geUnghf53PM/00377;0;train
id03298/_px-OC3Bcao/00309;0;train
id04219/6Kus3yZdSDw/00013;0;train
id05171/iuDgoZMX_Us/00448;0;train
id08351/hbU1vqQWOU8/00358;0;train
id03706/KALE721popM/00099;0;train
id00965/v1w-X5OopE0/00362;0;train
id01659/CGe6IKeSZlE/00091;0;train
id04660/JzY5fxYdTZA/00248;0;train
id08993/8Y8N1WjuCZw/00350;0;train
id08236/4iyrc-Lgr0c/00062;0;train
id03983/uZGKK1j4nYw/00484;0;train
id04839/S1vRrUHKxNw/00275;0;train
id07956/QYSCZq4jv8Q/00155;0;train
id02166/ptIwFudblqQ/00405;0;train
id03786/ZAQG55jYk44/00290;0;train
id07236/WIWACZqueaw/00284;0;train
id05189/vvuu-BquV-A/00414;0;train
id04716/W3WW7-Y3kpU/00264;0;train
id08999/Pju4O6IY6NM/00214;0;train
id08568/zlv6lnZOiTE/00427;0;train
id00680/K3y-YdLO7Ag/00093;0;train
id08362/WdzEljkKzM0/00260;0;train
id04128/qCIfQ4omShA/00406;0;train
id08802/ofLXe3MorBI/00381;0;train
id05496/szSj_kcOfHk/00366;0;train
id05771/Ucge64UmpDM/00297;0;train
id00806/lQXWBmkTzlE/00400;0;train
id05685/GYsI0X1V6to/00169;0;train
id01056/lWVoYyRiq9I/00312;0;train
id01776/Xfx8_xay-s4/00261;0;train
id06949/m3fbuh3BXAU/00337;0;train
id09186/Ygo2JFKtIWY/00351;0;train
id06792/Kd5oQFQvcRY/00234;0;train
id04554/zKAibyonoQg/00450;0;train
id07351/ks3vCPl-YMs/00462;0;train
id00829/pzB6dtqmr-c/00441;0;train
id05644/b6PKOvsuvDE/00415;0;train
id04486/XBw4ZCRYki0/00240;0;train
id00255/jluXlIFUSrY/00360;0;train
id08079/YZjXs0MBlAw/00196;0;train
id03312/EwvWbY_0NzU/00120;0;train
id04961/x_D_L738eu8/00457;0;train
id07344/es1noVdsPfY/00387;0;train
id00332/SpsxXtTHZu8/00213;0;train
id04684/biE0p4ZB5Vg/00287;0;train
id05853/_gPjTMGjio8/00292;0;train
id02538/7xLGPUdjuqY/00056;0;train
id00650/yvFbU8WQL1A/00488;0;train
id06239/AKySiXtKmB4/00137;0;train
id04027/ycxJSsbxlC8/00424;0;train
id01827/ziSI4xK8B0g/00490;0;train
id07556/jpXslH1ngJU/00321;0;train
id04486/Md8ofqVNB-E/00166;0;train
id08573/PXUFKv4UvOY/00237;0;train
id00255/jluXlIFUSrY/00377;0;train
id04968/5ts97UDuNo8/00018;0;train
id06378/3efjv7fXIpw/00018;0;train
id01225/D0MTcNjchr4/00163;0;train
id08568/tAgnkAWbSXg/00360;0;train
id04716/W3WW7-Y3kpU/00289;0;train
id08335/8HQ8NiAvD1U/00071;0;train
id04334/uo_u2sCTPI0/00445;0;train
id03821/sV8eMmhdaPo/00407;0;train
id03298/Ag7OAHi9cuA/00032;0;train
id04458/JSM7uj2YX1Q/00120;0;train
id01056/XJ3hX8ARmwE/00108;0;train
id04408/VRI88bHGDPw/00289;0;train
id08351/Gw6vy3TtfqE/00092;0;train
id03269/7k2gwnxUZf0/00048;0;train
id04855/JltoKjrRVfk/00174;0;train
id04222/gxjnVyFMDJs/00301;0;train
id04097/CZ1eZaLM3bU/00109;0;train
id07956/3yg9eMLEDxQ/00021;0;train
id04655/CT7Jdn0vpJU/00068;0;train
id07236/WIWACZqueaw/00298;0;train
id08999/Pju4O6IY6NM/00170;0;train
id09186/YpWx9hBjGXk/00368;0;train
id08079/dKcyEM-0h7I/00330;0;train
id00806/6mrsoPe2VX8/00131;0;train
id05477/excVkJwABwo/00234;0;train
id06792/2tMSooF-AdQ/00018;0;train
id03247/WWovvJLskLA/00188;0;train
id01511/QUIdppiPZcY/00306;0;train
id00829/fEVizCguIL4/00361;0;train
id01659/GLYxyXsU2kQ/00107;0;train
id08993/2l7DYrXH-UE/00279;0;train
id06949/XleL65eQLYM/00195;0;train
id03336/p1iEROayV5Y/00370;0;train
id05738/HOVvRUa120s/00114;0;train
id08658/iOCCe_tAbqw/00353;0;train
id02150/t3QYNjCmQeI/00489;0;train
id05771/Ucge64UmpDM/00150;0;train
id07256/10qzJuU-VfE/00005;0;train
id07980/eXavBsRXQhc/00307;0;train
id03786/sXGJaegnpCw/00468;0;train
id04961/dxg0imA4O_k/00270;0;train
id06017/YK2hkz0t_so/00266;0;train
id02260/E4HgfTDdfP8/00069;0;train
id04644/35CDXvggFbE/00028;0;train
id02593/nITNWi28m6k/00409;0;train
id04660/OXelgibY89o/00288;0;train
id05685/DztNpzgNPd4/00149;0;train
id07351/ev9EKPM5p1s/00376;0;train
id00266/jaxd84ojsF4/00370;0;train
id01010/GBVSljjqFsY/00125;0;train
id01758/ugFocH8uu_c/00486;0;train
id00741/61wcB9ZRAWU/00021;0;train
id07078/3qdbZ7VkfP0/00079;0;train
id05401/CyM0-c4F3tE/00080;0;train
id06588/Momb4IbHbJw/00185;0;train
id00680/PfHSQQQV28I/00212;0;train
id03983/XNhkO-Anw5g/00372;0;train
id07750/xqEVyoUaF-Y/00465;0;train
id06364/pigs0PBjBCo/00472;0;train
id08236/14qT8Xv49eE/00023;0;train
id06874/PsdBgW_Qbxg/00191;0;train
id08739/muYFYDS4Mtk/00401;0;train
id08802/a_XZV4b3Y1A/00270;0;train
id01827/5nZtk2hj5_s/00063;0;train
id03312/EwvWbY_0NzU/00151;0;train
id08362/mRJxSuXyJkA/00388;0;train
id00965/v1w-X5OopE0/00399;0;train
id05189/DpT_2U9v0X8/00058;0;train
id06239/UMbZOmD-t1o/00224;0;train
id05644/hjeALQM7_TI/00472;0;train
id00332/3RrSND5Y4Zg/00008;0;train
id04684/JVzRwjbumRY/00144;0;train
id07344/di-Jop-1-zA/00366;0;train
id05171/nKCWlzxkOec/00465;0;train
id05496/UPJJ3IfnC0g/00190;0;train
id03556/S-ojdxZI6ZI/00079;0;train
id03728/ZsLkZ9SuC7M/00331;0;train
id04738/nh4Lw2nNj28/00431;0;train
id04027/ycxJSsbxlC8/00454;0;train
id03706/6-eu1jnKwwU/00039;0;train
id05853/Pa0OEEQTg1M/00215;0;train
id05710/8JgnzO4EBCM/00060;0;train
id04839/n_5QqDQz7XE/00461;0;train
id04372/1fTFe6hLh2A/00007;0;train
id02538/WzizUiY7ZIM/00350;0;train
id07186/lI6LN_0Aty0/00398;0;train
id05913/KXR6VebuMw0/00166;0;train
id04219/8uin6HHzbUU/00118;0;train
id03907/LFU9-cCEsfU/00261;0;train
id03755/TU5P5ufZQdk/00269;0;train
id01776/Xfx8_xay-s4/00248;0;train
id09230/yWvnPE5yezM/00493;0;train
id02166/7qBi4hx7JiE/00026;0;train
id04554/oKtw7F88bjE/00338;0;train
id00650/P73eWOO7gEE/00154;0;train
id04128/Fo-woi8G4Gk/00135;0;train
id03247/xja_gzVCvzI/00486;0;train
id06588/CwCGTQwJ9XE/00097;0;train
id00680/uMLYBJb5kvs/00462;0;train
id02593/evMoIyRnhyw/00344;0;train
id07956/eRL9FKrjpMw/00301;0;train
id05644/XlaoKpDpjE4/00375;0;train
id08079/pz68gB6rTis/00475;0;train
id04655/sfgp05ZYDX8/00413;0;train
id06364/aW3kudEa6-M/00321;0;train
id07750/1zemaGxQ13A/00019;0;train
id09230/i9Q8fm1Dvyc/00360;0;train
id01776/ocjn-M1YUxU/00358;0;train
id07351/ev9EKPM5p1s/00382;0;train
id06792/mbI_H9ow3Z4/00469;0;train
id03821/EIZbYRv77ng/00110;0;train
id00829/htzr2KHZA0c/00407;0;train
id08335/WmOwsE-nUVg/00247;0;train
id08739/BZfCw62pZU8/00103;0;train
id01010/DeaTKQCZFuE/00080;0;train
id06874/AwGwmFn3jLg/00033;0;train
id02150/ao39oFR2HlE/00345;0;train
id01827/4XGfeTa4nog/00059;0;train
id04097/ErqSrUpDgUo/00160;0;train
id04554/G5Ja3J9JYjY/00150;0;train
id03728/6xrRMeV3lus/00101;0;train
id03907/kdouUZ5XHd4/00459;0;train
id01659/n80VXlQ7-Bg/00470;0;train
id00741/OeY3u2GcEUE/00174;0;train
id04486/hF2RLIxJ-8g/00334;0;train
id08568/NzsMKgBOfPo/00232;0;train
id03556/pCdHp33ZeKI/00224;0;train
id06239/i8Zu46fr_cw/00398;0;train
id04961/om8CjBgthJo/00359;0;train
id07078/xaNR9aM-K5M/00473;0;train
id00266/xRiW-Uo0utI/00478;0;train
id03706/wxppS_AE1ho/00469;0;train
id04839/S1vRrUHKxNw/00318;0;train
id04372/QS2sVIrfkyw/00203;0;train
id05477/8RpqHEKqWU8/00077;0;train
id03336/mV5Ifuu6TQA/00356;0;train
id04219/Kb-uzxyTooQ/00216;0;train
id06017/IQAXT9ulnDc/00086;0;train
id08999/qVS01raA-Lo/00477;0;train
id08573/wloLKN78tcM/00471;0;train
id03786/6Wr_rIokXKQ/00077;0;train
id04128/B6XxDQnp9d8/00097;0;train
id00965/Lw8yfdbg21w/00066;0;train
id04027/OVLLLU7Ieuk/00299;0;train
id04660/sl9bCCqpmBU/00461;0;train
id05171/1AR43lgXFgE/00014;0;train
id04738/vndJwwnjcI4/00487;0;train
id04855/_NBi3PimdJ8/00316;0;train
id00255/DHtemaOcCB8/00144;0;train
id05401/ioMpOr7Yx98/00318;0;train
id08993/2l7DYrXH-UE/00253;0;train
id01758/_Kj1UZ4x-qs/00295;0;train
id05913/FUoVYyVpiAg/00135;0;train
id09186/YpWx9hBjGXk/00402;0;train
id00332/vBgRVeoA49Q/00428;0;train
id08802/ed_OzI09Rak/00297;0;train
id06949/07oh0psgaDA/00003;0;train
id04968/ni1ueIwfxfs/00393;0;train
id04408/Siny2SNE09U/00249;0;train
id03312/iDyT6tOZrZk/00376;0;train
id00650/kHBrmonXX74/00401;0;train
id01511/LIIMmLbD7dA/00197;0;train
