utterance_key;shard_dix;set_name
id08394/vvidSn4VBC0/00092;0;train
id08758/WJrik2VpODs/00122;0;train
id08774/8RwDWEBE0cU/00024;0;train
id03994/DcdG0FSTnhw/00167;0;train
id03501/e73ltmPx4Mc/00018;0;train
id05984/N8J89P4jRzA/00050;0;train
id07417/OIO6kxVcqk0/00086;0;train
id01265/3pM2ZHEs8tk/00071;0;train
id03190/4nguK392YDA/00004;0;train
id07527/lilgF4AzUmQ/00224;0;train
id05324/qXo82eKQG9U/00174;0;train
id07399/lksY4CoLUFI/00031;0;train
id06467/bN8jVda0Byw/00012;0;train
id07128/86PDfL_fhc0/00129;0;train
id06905/aBPG0Mx7YrU/00319;0;train
id05435/DqtQNTyTvpE/00031;0;train
id01071/w0gLCHnSfEk/00032;0;train
id04969/3CA7xJ1a7Ds/00023;0;train
id01335/u7fwMnU6trs/00179;0;train
id01016/5cvbA13wAXg/00002;0;train
id00163/Afo98ShomEE/00009;0;train
id01964/TGLvWvgqUKQ/00030;0;train
id08206/UerRFyoA5nE/00082;0;train
id05198/tJgmqcVN2o0/00136;0;train
id03689/pJDpLR5a56I/00066;0;train
id08344/7RU0PXbtROM/00024;0;train
id06397/6n5h6PjKg7Q/00005;0;train
id06706/e1lSNB8RHkg/00071;0;train
id08465/tYSfK0V5D90/00057;0;train
id06134/hF06qiLgTZ8/00046;0;train
id05932/nyoU3Y1T4cA/00334;0;train
id00270/n_OKeG-oKPc/00104;0;train
id02359/RBcALUBwigU/00053;0;train
id02108/nPJcqZfFizQ/00033;0;train
id05920/6apO-UzfnHA/00045;0;train
id03762/n2_XIUbM880/00046;0;train
id02079/xrCiPu644AI/00171;0;train
id08901/JcCJMlIdv88/00072;0;train
id03725/mmM64G5O_6I/00254;0;train
id01555/e8uRhEknqVU/00046;0;train
id09187/n31bc2Hv7zA/00027;0;train
id08440/57NF0VpRr1o/00006;0;train
id02436/tllUH6kLs_w/00024;0;train
id07351/Ro7kh6UgWiw/00267;0;train
id06848/OJqrbAjzKhM/00025;0;train
id09139/9tXCr5saFIo/00022;0;train
id02820/4M8_XcW7ZR8/00016;0;train
id05261/Y64gE4ALg6U/00209;0;train
id03727/Fn-rXw7ges0/00135;0;train
id01798/_q1Pv_IiQ1o/00307;0;train
id05792/_5ORA8CaBLI/00066;0;train
id09057/LGAJL_qAubU/00009;0;train
id02264/jd0ueqJ2KgM/00229;0;train
id00373/nuXeeJckRvE/00195;0;train
id01775/vafHwZunIhQ/00029;0;train
id04152/k8iLh27M_DM/00070;0;train
id02858/4AshuO9vaPE/00003;0;train
id04527/wx_sgSXxFKA/00120;0;train
id02222/irL06cCOczs/00044;0;train
id07136/Wyq2RCFIZ8A/00265;0;train
id03946/V_lAy1sGMys/00058;0;train
id04285/lUVf9nLyU_8/00057;0;train
id08775/q5-OKPgvpaA/00039;0;train
id02365/KTHM_LvjcgY/00027;0;train
id06234/jtqfp8Du5E4/00094;0;train
id03364/Qr18vmcYQdQ/00029;0;train
id07084/ewkSGl8zupI/00151;0;train
id04968/pS-d-d17mSI/00414;0;train
id00670/VxKdEqyCv-U/00054;0;train
id03454/XHX1rkMd-eU/00012;0;train
id08593/PHQrab15LAY/00080;0;train
id06214/zU-KqF6qhUY/00052;0;train
id01554/Y4LIFcX0MGE/00089;0;train
id08942/USRSFbmWqZY/00079;0;train
id07531/0I2fRcFPzu4/00034;0;train
id05090/2EDpv8OOccE/00011;0;train
id01407/X0Mpe4zAzws/00027;0;train
id04523/QBptnCcNZvs/00102;0;train
id08030/esC0UIP08E8/00012;0;train
id06583/q9yPtwbbzSw/00262;0;train
id02362/U4fUjEotWV8/00066;0;train
id08154/IZgbMlzzcmI/00012;0;train
id07121/TMoX0T3TAt8/00090;0;train
id08314/gyQObN3jwf8/00149;0;train
id03098/Yz-VNsG6jzc/00042;0;train
id07825/AmhEAW8wse0/00053;0;train
id00397/N45jvyh5iNo/00003;0;train
id03262/kWM4X-esc78/00068;0;train
id06494/dYMu_TdwZiQ/00120;0;train
id03325/fTor3HqNQzk/00321;0;train
id02669/UJa1mJQNWVA/00041;0;train
id00960/tzi9KTP9tAo/00199;0;train
id07589/MroG00SdQ8E/00013;0;train
id03390/tsBCLty05sk/00061;0;train
id04740/s0ZF-8Jna2Y/00122;0;train
id03829/X2shcjVjR58/00159;0;train
id07646/pcMmkcC6Ks0/00066;0;train
id01420/NiGzmPWj_nc/00060;0;train
id08647/AdyplG1HkwQ/00117;0;train
id08110/1s8pOZ6UGlM/00006;0;train
id06922/X0ZgtNgw5G0/00028;0;train
id01716/BnK3FQSkI88/00023;0;train
id02209/kXWZEd2HKHI/00054;0;train
id01112/vbMrzHypKBM/00093;0;train
id00255/oKPG1F4IhRA/00417;0;train
id01423/ZICMLV0iRUk/00165;0;train
id04569/wRRwBuH56MM/00023;0;train
id06004/w20H0L555cE/00092;0;train
id04189/LuMhm4VAQRE/00017;0;train
