lr,eer,data,network
1e-07,0.4108372628688812,vox2,xvector
1e-06,0.3399968147277832,vox2,xvector
1e-05,0.1677481085062027,vox2,xvector
0.0001,0.09495454281568529,vox2,xvector
0.01,0.06768036633729935,vox2,xvector
0.001,0.0630783960223198,vox2,xvector
1e-07,0.3352118730545044,tiny-few-speakers,xvector
1e-05,0.1648760735988617,tiny-few-speakers,xvector
1e-06,0.2282204031944275,tiny-few-speakers,xvector
0.0001,0.1456749439239502,tiny-few-speakers,xvector
0.001,0.13631771504878998,tiny-few-speakers,xvector
0.01,0.13328368961811066,tiny-few-speakers,xvector
1e-07,0.41415807604789734,tiny-few-sessions,xvector
1e-06,0.3256036639213562,tiny-few-sessions,xvector
1e-05,0.24859057366847992,tiny-few-sessions,xvector
0.0001,0.21699818968772888,tiny-few-sessions,xvector
0.001,0.22572067379951477,tiny-few-sessions,xvector
0.01,0.2396193295717239,tiny-few-sessions,xvector
1e-07,0.41375213861465454,tiny-many-sessions,xvector
1e-06,0.34339943528175354,tiny-many-sessions,xvector
1e-05,0.19022808969020844,tiny-many-sessions,xvector
0.0001,0.1215907260775566,tiny-many-sessions,xvector
0.001,0.10381874442100524,tiny-many-sessions,xvector
0.01,0.10126582533121108,tiny-many-sessions,xvector
3.16e-05,0.2280291318893433,tiny-few-sessions,xvector
5.62e-05,0.2189377397298813,tiny-few-sessions,xvector
1.78e-05,0.24046999216079712,tiny-few-sessions,xvector
0.00316,0.13642404973506927,tiny-few-speakers,xvector
0.00178,0.1356770545244217,tiny-few-speakers,xvector
0.00562,0.13116061687469482,tiny-few-speakers,xvector
0.000316,0.07158812880516052,vox2,xvector
0.000562,0.06348025053739548,vox2,xvector
0.000178,0.07754494249820709,vox2,xvector
0.0178,0.12908713519573212,tiny-few-speakers,xvector
0.0316,0.1377532035112381,tiny-few-speakers,xvector
0.0562,0.13636846840381622,tiny-few-speakers,xvector
0.00178,0.06507523357868195,vox2,xvector
0.00316,0.06297202408313751,vox2,xvector
0.00562,0.06698920577764511,vox2,xvector
0.000316,0.2230846881866455,tiny-few-sessions,xvector
0.000178,0.21710456907749176,tiny-few-sessions,xvector
